date,entity,metric,value,user_id
2015-07-24,treatment_group,nasdaq_volume,2488590.214,888
2015-07-27,treatment_group,nasdaq_volume,2972068.5,888
2015-07-28,treatment_group,nasdaq_volume,3434507.714,888
2015-07-29,treatment_group,nasdaq_volume,3190395.714,888
2015-07-30,treatment_group,nasdaq_volume,2124314.5,888
2015-07-31,treatment_group,nasdaq_volume,2562184.857,888
2014-12-01,treatment_group,consolidated_volume,24247933.36,888
2014-12-02,treatment_group,consolidated_volume,18117067.43,888
2014-12-03,treatment_group,consolidated_volume,18223975.86,888
2014-12-04,treatment_group,consolidated_volume,17565923,888
2014-12-05,treatment_group,consolidated_volume,22919827.71,888
2014-12-08,treatment_group,consolidated_volume,23144366.86,888
2014-12-09,treatment_group,consolidated_volume,22144955,888
2014-12-10,treatment_group,consolidated_volume,24619486.86,888
2014-12-11,treatment_group,consolidated_volume,19352830.57,888
2014-12-12,treatment_group,consolidated_volume,23023210.71,888
2014-12-15,treatment_group,consolidated_volume,27125881.14,888
2014-12-16,treatment_group,consolidated_volume,28846709,888
2014-12-17,treatment_group,consolidated_volume,29107109.36,888
2014-12-18,treatment_group,consolidated_volume,28794368.36,888
2014-12-19,treatment_group,consolidated_volume,29152309.93,888
2014-12-22,treatment_group,consolidated_volume,19637546.5,888
2014-12-23,treatment_group,consolidated_volume,19318019.43,888
2014-12-26,treatment_group,consolidated_volume,11105953.86,888
2014-12-29,treatment_group,consolidated_volume,15179404.57,888
2014-12-30,treatment_group,consolidated_volume,13298676.79,888
2014-12-31,treatment_group,consolidated_volume,14687530.86,888
2015-01-02,treatment_group,consolidated_volume,16713405,888
2015-01-05,treatment_group,consolidated_volume,22252193.07,888
2015-01-06,treatment_group,consolidated_volume,32417437.57,888
2015-01-07,treatment_group,consolidated_volume,28061342.36,888
2015-01-08,treatment_group,consolidated_volume,23062773.36,888
2015-01-09,treatment_group,consolidated_volume,20675720.29,888
2015-01-12,treatment_group,consolidated_volume,22465298.29,888
2015-01-13,treatment_group,consolidated_volume,26735195.64,888
2015-01-14,treatment_group,consolidated_volume,28681439.07,888
2015-01-15,treatment_group,consolidated_volume,26822737.86,888
2015-01-16,treatment_group,consolidated_volume,28454498.93,888
2015-01-20,treatment_group,consolidated_volume,22385606,888
2015-01-21,treatment_group,consolidated_volume,22148451.29,888
2015-01-22,treatment_group,consolidated_volume,25363339.14,888
2015-01-23,treatment_group,consolidated_volume,20298542.93,888
2015-01-26,treatment_group,consolidated_volume,16741576.14,888
2015-01-27,treatment_group,consolidated_volume,18562837.71,888
2015-01-28,treatment_group,consolidated_volume,22723970.5,888
2015-01-29,treatment_group,consolidated_volume,21378701.93,888
2015-01-30,treatment_group,consolidated_volume,21974959.86,888
2015-02-02,treatment_group,consolidated_volume,23504056.36,888
2015-02-03,treatment_group,consolidated_volume,24175750.71,888
2015-02-04,treatment_group,consolidated_volume,19432804.79,888
2015-02-05,treatment_group,consolidated_volume,23180344.86,888
2015-02-06,treatment_group,consolidated_volume,32509025.14,888
2015-02-09,treatment_group,consolidated_volume,20785958.36,888
2015-02-10,treatment_group,consolidated_volume,22270149.71,888
2015-02-11,treatment_group,consolidated_volume,28357868.79,888
2015-02-12,treatment_group,consolidated_volume,27527731.07,888
2015-02-13,treatment_group,consolidated_volume,29640103.93,888
2015-02-17,treatment_group,consolidated_volume,22690494.93,888
2015-02-18,treatment_group,consolidated_volume,18779382.93,888
2015-02-19,treatment_group,consolidated_volume,18617516.64,888
2015-02-20,treatment_group,consolidated_volume,20029122.29,888
2015-02-23,treatment_group,consolidated_volume,16404365.43,888
2015-02-24,treatment_group,consolidated_volume,19871410.14,888
2015-02-25,treatment_group,consolidated_volume,19678845,888
2015-02-26,treatment_group,consolidated_volume,23635740.07,888
2015-02-27,treatment_group,consolidated_volume,22618256.93,888
